Sample in Buffer,Sample in Window,TRIGGER,count[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
284,284,0,4015631156
285,285,0,4015631157
286,286,0,4015631158
287,287,0,4015631159
288,288,0,4015631160
289,289,0,4015631161
290,290,0,4015631162
291,291,0,4015631163
292,292,0,4015631164
293,293,0,4015631165
294,294,0,4015631166
295,295,0,4015631167
296,296,0,4015631168
297,297,0,4015631169
298,298,0,4015631170
299,299,0,4015631171
300,300,0,4015631172
301,301,0,4015631173
302,302,0,4015631174
303,303,0,4015631175
304,304,0,4015631176
305,305,0,4015631177
306,306,0,4015631178
307,307,0,4015631179
308,308,0,4015631180
309,309,0,4015631181
310,310,0,4015631182
311,311,0,4015631183
312,312,0,4015631184
313,313,0,4015631185
314,314,0,4015631186
315,315,0,4015631187
316,316,0,4015631188
317,317,0,4015631189
318,318,0,4015631190
319,319,0,4015631191
320,320,0,4015631192
321,321,0,4015631193
322,322,0,4015631194
323,323,0,4015631195
324,324,0,4015631196
325,325,0,4015631197
326,326,0,4015631198
327,327,0,4015631199
328,328,0,4015631200
329,329,0,4015631201
330,330,0,4015631202
331,331,0,4015631203
332,332,0,4015631204
333,333,0,4015631205
334,334,0,4015631206
335,335,0,4015631207
336,336,0,4015631208
337,337,0,4015631209
338,338,0,4015631210
339,339,0,4015631211
340,340,0,4015631212
341,341,0,4015631213
342,342,0,4015631214
343,343,0,4015631215
344,344,0,4015631216
345,345,0,4015631217
346,346,0,4015631218
347,347,0,4015631219
348,348,0,4015631220
349,349,0,4015631221
350,350,0,4015631222
351,351,0,4015631223
352,352,0,4015631224
353,353,0,4015631225
354,354,0,4015631226
355,355,0,4015631227
356,356,0,4015631228
357,357,0,4015631229
358,358,0,4015631230
359,359,0,4015631231
360,360,0,4015631232
361,361,0,4015631233
362,362,0,4015631234
363,363,0,4015631235
364,364,0,4015631236
365,365,0,4015631237
366,366,0,4015631238
367,367,0,4015631239
368,368,0,4015631240
369,369,0,4015631241
370,370,0,4015631242
371,371,0,4015631243
372,372,0,4015631244
373,373,0,4015631245
374,374,0,4015631246
375,375,0,4015631247
376,376,0,4015631248
377,377,0,4015631249
378,378,0,4015631250
379,379,0,4015631251
380,380,0,4015631252
381,381,0,4015631253
382,382,0,4015631254
383,383,0,4015631255
384,384,0,4015631256
385,385,0,4015631257
386,386,0,4015631258
387,387,0,4015631259
388,388,0,4015631260
389,389,0,4015631261
390,390,0,4015631262
391,391,0,4015631263
392,392,0,4015631264
393,393,0,4015631265
394,394,0,4015631266
395,395,0,4015631267
396,396,0,4015631268
397,397,0,4015631269
398,398,0,4015631270
399,399,0,4015631271
400,400,0,4015631272
401,401,0,4015631273
402,402,0,4015631274
403,403,0,4015631275
404,404,0,4015631276
405,405,0,4015631277
406,406,0,4015631278
407,407,0,4015631279
408,408,0,4015631280
409,409,0,4015631281
410,410,0,4015631282
411,411,0,4015631283
412,412,0,4015631284
413,413,0,4015631285
414,414,0,4015631286
415,415,0,4015631287
416,416,0,4015631288
417,417,0,4015631289
418,418,0,4015631290
419,419,0,4015631291
420,420,0,4015631292
421,421,0,4015631293
422,422,0,4015631294
423,423,0,4015631295
424,424,0,4015631296
425,425,0,4015631297
426,426,0,4015631298
427,427,0,4015631299
428,428,0,4015631300
429,429,0,4015631301
430,430,0,4015631302
431,431,0,4015631303
432,432,0,4015631304
433,433,0,4015631305
434,434,0,4015631306
435,435,0,4015631307
436,436,0,4015631308
437,437,0,4015631309
438,438,0,4015631310
439,439,0,4015631311
440,440,0,4015631312
441,441,0,4015631313
442,442,0,4015631314
443,443,0,4015631315
444,444,0,4015631316
445,445,0,4015631317
446,446,0,4015631318
447,447,0,4015631319
448,448,0,4015631320
449,449,0,4015631321
450,450,0,4015631322
451,451,0,4015631323
452,452,0,4015631324
453,453,0,4015631325
454,454,0,4015631326
455,455,0,4015631327
456,456,0,4015631328
457,457,0,4015631329
458,458,0,4015631330
459,459,0,4015631331
460,460,0,4015631332
461,461,0,4015631333
462,462,0,4015631334
463,463,0,4015631335
464,464,0,4015631336
465,465,0,4015631337
466,466,0,4015631338
467,467,0,4015631339
468,468,0,4015631340
469,469,0,4015631341
470,470,0,4015631342
471,471,0,4015631343
472,472,0,4015631344
473,473,0,4015631345
474,474,0,4015631346
475,475,0,4015631347
476,476,0,4015631348
477,477,0,4015631349
478,478,0,4015631350
479,479,0,4015631351
480,480,0,4015631352
481,481,0,4015631353
482,482,0,4015631354
483,483,0,4015631355
484,484,0,4015631356
485,485,0,4015631357
486,486,0,4015631358
487,487,0,4015631359
488,488,0,4015631360
489,489,0,4015631361
490,490,0,4015631362
491,491,0,4015631363
492,492,0,4015631364
493,493,0,4015631365
494,494,0,4015631366
495,495,0,4015631367
496,496,0,4015631368
497,497,0,4015631369
498,498,0,4015631370
499,499,0,4015631371
500,500,0,4015631372
501,501,0,4015631373
502,502,0,4015631374
503,503,0,4015631375
504,504,0,4015631376
505,505,0,4015631377
506,506,0,4015631378
507,507,0,4015631379
508,508,0,4015631380
509,509,0,4015631381
510,510,0,4015631382
511,511,0,4015631383
512,512,0,4015631384
513,513,0,4015631385
514,514,0,4015631386
515,515,0,4015631387
516,516,0,4015631388
517,517,0,4015631389
518,518,0,4015631390
519,519,0,4015631391
520,520,0,4015631392
521,521,0,4015631393
522,522,0,4015631394
523,523,0,4015631395
524,524,0,4015631396
525,525,0,4015631397
526,526,0,4015631398
527,527,0,4015631399
528,528,0,4015631400
529,529,0,4015631401
530,530,0,4015631402
531,531,0,4015631403
532,532,0,4015631404
533,533,0,4015631405
534,534,0,4015631406
535,535,0,4015631407
536,536,0,4015631408
537,537,0,4015631409
538,538,0,4015631410
539,539,0,4015631411
540,540,0,4015631412
541,541,0,4015631413
542,542,0,4015631414
543,543,0,4015631415
544,544,0,4015631416
545,545,0,4015631417
546,546,0,4015631418
547,547,0,4015631419
548,548,0,4015631420
549,549,0,4015631421
550,550,0,4015631422
551,551,0,4015631423
552,552,0,4015631424
553,553,0,4015631425
554,554,0,4015631426
555,555,0,4015631427
556,556,0,4015631428
557,557,0,4015631429
558,558,0,4015631430
559,559,0,4015631431
560,560,0,4015631432
561,561,0,4015631433
562,562,0,4015631434
563,563,0,4015631435
564,564,0,4015631436
565,565,0,4015631437
566,566,0,4015631438
567,567,0,4015631439
568,568,0,4015631440
569,569,0,4015631441
570,570,0,4015631442
571,571,0,4015631443
572,572,0,4015631444
573,573,0,4015631445
574,574,0,4015631446
575,575,0,4015631447
576,576,0,4015631448
577,577,0,4015631449
578,578,0,4015631450
579,579,0,4015631451
580,580,0,4015631452
581,581,0,4015631453
582,582,0,4015631454
583,583,0,4015631455
584,584,0,4015631456
585,585,0,4015631457
